plu_kod,tw_nazwa,tw_cena_sprz,tw_idabaco
3601029932401,WM WK£AD D/SE N/SP A4 80K KR,"15,99",5031505
78000009538,DR PEPPER NAP”J 355ML GAZ CHERR,"5,93",5119417
2050000051777,DR PEPPER NAP”J 355ML GAZ CHERR,"5,93",5119417
78000033489,DR PEPPER NAP”J 355ML GAZ CREAM,"5,49",5119409
5901330072857,OLIMP KONCENTRAT 35G ISO POMARA,"4,99",4834008
5900552059974,4MOVE ACTIVE WATER WITAM+MINER,"1,79",3924156
5449000275509,COCA COLA NAP”J GAZ 850ML CHERR,"6,99",4796199
5000112643497,FANTA NAP”J GAZ 850ML ORANGE,"6,99",4796215
5449000275424,FANTA NAP”J GAZ 850ML ORANGE,"6,99",4796215
5904730983006,"Kombucha, napÛj herbaciany o sm","2,79",4255147
5900334016423,NESTEA ICE TEA NAP.ZIE.HER.330M,"1,99",4445466
59029076,"PEPSI  BUT SZKL. 0,2L","2,49",4277000
59029076,"PEPSI  BUT SZKL. 0,2L","2,49",4277000
5906441350757,VERO ACTIV COCONOUT N/GAZ 550ML,"2,89",3973658
5900497038645,PEPSI 2X1.5L LIME MINT,"9,99",4022836
5900334018960,TIGER NAP”J 500ML ENERG THUNDER,"4,49",4347662
5904730983570,VITA NAP”J 250ML CONNABIAS COLA,"2,99",4349916
8002270936586,S.PELLEGRINO ARANCIATA 24X330ML,"118,99",4851887
5906708774173,LADY NAP 300ML BUBBL TRUSK JAGO,"5,69",5137815
5906708774180,LADY NAP 300ML BUBBL GREJPFRUT,"5,69",5137823
5601045300022,GUARANA NAP”J 330ML CLASSIC,"0,79",5137799
5900352016269,HELLENA ORANØADA 1.25L MALINA,"3,99",5238035
5900352015859,HELLENA ORANØADA 1.25L MI TA,"3,99",5238043
613008719524,ARIZONA NAP 650ML PEACH TEA,"6,99",5238753
5901067410397,DR WITT ØEL 100G ENERG MANGO,"2,69",5198502
5449000235367,FANTA NAP 330ML GAZ ORANGE ZERO,"3,99",5207881
5900552086758,BLACK NAP 500ML ENERG ORIG ZERO,"3,49",5024906
5900552087366,BLACK NAP 250ML ENERG FRIZ ROSE,"2,99",5024823
5904988310166,DZIK  ZERO CAFFEINE ZERO KALORI,"5,49",5118971
